,hdb_lat,hdb_lon,hawker_lat,hawker_lon,distance
6111,1.377171374,103.895401,1.382388,103.892403,0.666368
6112,1.37717209,103.7686168,1.377601,103.77249,0.43364
6113,1.377174172,103.8894744,1.382388,103.892403,0.662265
6114,1.37717717,103.9335798,1.373434,103.951543,2.041481
6115,1.377178641,103.7354542,1.355215,103.741826,2.530032
6116,1.377189781,103.9340798,1.373434,103.951543,1.987315
6117,1.377200478,103.7698528,1.377601,103.77249,0.29681
6118,1.377204824,103.8932882,1.382388,103.892403,0.581534
6119,1.377206233,103.770507,1.377601,103.77249,0.224959
6120,1.377209778,103.8938456,1.382388,103.892403,0.594663
6121,1.377218862,103.8802818,1.375429,103.882978,0.359447
6122,1.377240892,103.7731654,1.377601,103.77249,0.085059
6123,1.377258748,103.7482919,1.387136,103.761018,1.78847
6124,1.37727908,103.738418,1.355215,103.741826,2.469037
6125,1.377294744,103.9441225,1.373434,103.951543,0.929627
6126,1.377295646,103.9355644,1.373434,103.951543,1.82877
6127,1.377296018,103.7365388,1.355215,103.741826,2.511505
6128,1.377301281,103.7679793,1.377601,103.77249,0.503078
6129,1.377328452,103.9042122,1.382388,103.892403,1.428341
6130,1.377339085,103.8364724,1.374489,103.839214,0.438643
6131,1.377346842,103.7379129,1.355215,103.741826,2.485671
6132,1.377351206,103.743105,1.387136,103.761018,2.268176
6133,1.377367365,103.7677488,1.377601,103.77249,0.528269
6134,1.37738338,103.7407814,1.355215,103.741826,2.454022
6135,1.377404141,103.9403227,1.373434,103.951543,1.323602
6136,1.377422637,103.7649693,1.377601,103.77249,0.837193
